AnimalName,NameCount
BELLA,1306
MAX,1188
CHARLIE,964
COCO,891
LOLA,829
ROCKY,802
LUNA,787
LUCY,724
BUDDY,650
DAISY,629
LUCKY,624
TEDDY,611
BAILEY,595
PRINCESS,530
TOBY,504
MILO,482
CHLOE,479
MOLLY,461
PENNY,433
MIA,425
OLIVER,413
LEO,412
COOPER,402
OREO,398
LILY,395
JACK,390
RUBY,380
COOKIE,365
PRINCE,364
STELLA,361
SOPHIE,358
LULU,348
RILEY,344
MAGGIE,332
ROSIE,328
ZOEY,314
GIZMO,312
GINGER,306
BLUE,301
LADY,294
SHADOW,285
ROXY,280
BEAR,279
PEPPER,279
SADIE,279
SASHA,278
OSCAR,268
BENTLEY,262
CODY,257
BRUNO,256
LOUIE,255
ZEUS,247
ZOE,247
BENJI,246
KING,246
JAKE,243
HARLEY,240
BABY,239
BROOKLYN,238
DUKE,238
HENRY,234
FRANKIE,233
BUSTER,224
ROCCO,220
SAMMY,219
PEANUT,213
JAX,212
GRACIE,210
SCOUT,209
WINSTON,205
ROMEO,197
BROWNIE,196
SANDY,196
DEXTER,191
OLIVE,191
OLLIE,191
NALA,188
JACKSON,187
HONEY,184
REX,184
ZIGGY,184
LEXI,182
SIMBA,181
LILLY,179
ACE,178
GEORGE,177
SAM,175
JASPER,174
HAZEL,170
EMMA,168
RUSTY,166
LAYLA,165
CHEWY,164
HUNTER,164
SPARKY,164
ELLIE,163
MAYA,162
MINNIE,160
CHASE,159
MURPHY,159
SNOOPY,158
HUDSON,156
ABBY,155
GIGI,155
OTIS,155
BANDIT,153
ELLA,153
ANGEL,150
TUCKER,150
MAXIMUS,149
GUS,147
MICKEY,147
LOKI,144
JOEY,143
MADISON,140
MARLEY,140
MOCHA,138
TYSON,133
MISSY,132
DIAMOND,131
MIMI,131
REMY,130
BENNY,129
CHESTER,128
PHOEBE,127
APOLLO,126
ARCHIE,126
NINA,126
ROXIE,126
BAXTER,125
MR.,125
PEBBLES,125
FINN,124
PENELOPE,123
PIPER,123
HARRY,122
FLUFFY,121
SPIKE,121
BRUCE,120
BISCUIT,119
CHICO,118
CASEY,117
MORKIE,117
MILLIE,115
BELLE,114
HOLLY,114
THOR,114
WINNIE,113
ANNIE,112
CHANCE,112
PRECIOUS,110
SUGAR,110
DIESEL,108
NENA,106
COCOA,104
SKY,104
COSMO,103
KOBE,103
PARKER,103
SUNNY,103
WILLOW,101
BOWIE,100
FIONA,100
RUFUS,100
LOGAN,97
MOCHI,97
MADDIE,96
CASPER,95
DAKOTA,95
SMOKEY,95
BEAU,94
ATHENA,92
OTTO,92
SNOW,92
GUCCI,91
MOOSE,91
YOGI,91
HERSHEY,90
JUNIOR,90
KIKI,90
RUDY,90
BLU,89
CHIP,89
HUGO,89
LITTLE,89
BETTY,87
ELVIS,87
FOXY,87
LUKE,87
SAMSON,87
TRIXIE,87
WALLY,87
BOBBY,86
HAPPY,86
ONYX,86
THEO,86
BONNIE,85
IZZY,85
ROSCOE,85
STORM,85
TINY,85
CHANEL,84
MASON,84
BOOMER,83
OLIVIA,83
PUPPY,83
SAMANTHA,83
SONNY,83
HANK,82
LUCA,82
PETEY,82
SHEA,82
SIMON,82
SOPHIA,82
DELILAH,81
LOUIS,81
NIKO,81
ALFIE,80
CHAMP,80
LUCAS,80
PARIS,80
STANLEY,80
CHEWIE,79
CINNAMON,79
HERCULES,79
TIGER,79
BRANDY,78
JOJO,78
MISTY,78
BOO,77
MIDNIGHT,77
NICO,77
AVA,76
BENJAMIN,76
BRODY,76
CASH,76
CHARLOTTE,76
RAMBO,76
SCOOBY,76
SNOWBALL,76
BRADY,75
OZZY,75
WALTER,75
ENZO,74
MILA,74
ANDY,73
BAMBI,73
CALLIE,72
HARPER,72
MUFFIN,72
PANDA,72
CALI,71
DINO,71
MAXWELL,71
PIPPA,71
CHELSEA,70
NOVA,70
BARNEY,69
JOSIE,69
STAR,69
DIEGO,68
MONTY,68
ROCKET,68
DIXIE,67
KATIE,67
KODA,67
POPPY,67
VIOLET,67
BO,66
DOLLY,66
HARVEY,66
LEIA,66
SIR,66
TAZ,66
BIGGIE,65
JACKIE,65
LEXIE,65
MILES,65
REGGIE,65
THEODORE,65
WATSON,65
CLEO,64
JUNO,64
MABEL,64
RICO,64
YOSHI,64
FRANKLIN,63
RICKY,63
WINTER,63
AMBER,62
BERNIE,62
GRACE,62
JASMINE,62
KHLOE,62
KOKO,62
MIKEY,62
NIKKI,62
NOAH,62
PATCHES,62
SALLY,62
SASSY,62
SCOOTER,62
BRUTUS,61
JESSIE,61
ISABELLA,60
MATILDA,60
MIKA,60
NELLIE,60
PUMPKIN,60
DUNCAN,59
FRANK,59
XENA,59
ELI,58
IVY,58
MISS,58
PABLO,58
SEBASTIAN,58
SKYE,58
SNOWY,58
TONY,58
BOSCO,57
BUBBA,57
DUSTY,57
GHOST,57
GIA,57
MAC,57
WILLIE,57
APRIL,56
BEN,56
DASH,56
FRIDA,56
LILA,56
PEARL,56
SCRUFFY,56
TOMMY,56
CLYDE,55
DANTE,55
JERRY,55
LACEY,55
TANK,55
BEBE,54
BILLY,54
CAESAR,54
CASSIE,54
DALLAS,54
HEIDI,54
ROSE,54
SPENCER,54
ZELDA,54
BUBBLES,53
DIVA,53
EDDIE,53
FRED,53
MANGO,53
MOMO,53
RANGER,53
SCRAPPY,53
SUMMER,53
LILO,52
NUGGET,52
OZZIE,52
SYDNEY,52
BAM,51
CHARLEY,51
DOLCE,51
DUTCHESS,51
MARTY,51
NINO,51
SHELBY,51
BOBO,50
JOY,50
PERCY,50
SNICKERS,50
TINA,50
YODA,50
CINDY,49
GOLDIE,49
JESSE,49
KANE,49
QUINCY,49
SHEBA,49
STITCH,49
TITO,49
CHEWBACCA,48
ERNIE,48
FREDDIE,48
FREDDY,48
GEORGIE,48
JADE,48
MELO,48
MOJO,48
ODIN,48
PEACHES,48
RINGO,48
SCARLETT,48
CANDY,47
MISTER,47
SOFIA,47
TACO,47
TITAN,47
ABIGAIL,46
BODHI,46
GEORGIA,46
HOPE,46
KONA,46
MACHO,46
SHILOH,46
SPANKY,46
YUKI,46
JUNE,45
KAI,45
LONDON,45
MAPLE,45
MURRAY,45
RED,45
SUKI,45
BIANCA,44
BLACKIE,44
CHARLES,44
CUPCAKE,44
DOBBY,44
LINDA,44
MACK,44
QUINN,44
RALPH,44
SAVANNAH,44
TIFFANY,44
BARKLEY,43
BILLIE,43
BUTTERCUP,43
FLASH,43
HANNAH,43
MAJOR,43
PAPI,43
PINKY,43
TYLER,43
WHISKEY,43
ELOISE,42
JAY,42
JETER,42
RIPLEY,42
TOOTSIE,42
WOODY,42
ALEX,41
ARLO,41
CAPTAIN,41
CLOVER,41
FELIX,41
GATSBY,41
JACOB,41
MAISIE,41
MILEY,41
NACHO,41
NAPOLEON,41
NICKY,41
PEPE,41
SAGE,41
STEVIE,41
TINKERBELL,41
WAFFLES,41
ALICE,40
ASTRO,40
DAPHNE,40
DUCHESS,40
JIMMY,40
KELLY,40
KIRA,40
LEVI,40
MOOKIE,40
NEMO,40
PETE,40
PIXIE,40
SUNSHINE,40
TALLULAH,40
TOTO,40
YORKIE,40
AMY,39
BEAN,39
FRITZ,39
KIRBY,39
LENNY,39
MOXIE,39
PLUTO,39
POLO,39
RIO,39
WILSON,39
ARTHUR,38
CHOCOLATE,38
DARLA,38
DOMINO,38
ELSA,38
EVIE,38
GUINNESS,38
IGGY,38
JENNY,38
KIWI,38
MAGIC,38
MAXINE,38
MUGSY,38
MYLO,38
PACO,38
SEAMUS,38
SHERLOCK,38
BACI,37
CHOCO,37
COBY,37
DYLAN,37
ELEANOR,37
FAITH,37
GYPSY,37
JORDAN,37
SUSIE,37
ACHILLES,36
CHIQUITA,36
CLEMENTINE,36
DOTTIE,36
EMILY,36
EMMY,36
GINO,36
HAMILTON,36
JAZZ,36
JAZZY,36
LALA,36
MANDY,36
PICKLE,36
SAMMIE,36
BASIL,35
BUFFY,35
BUTTERS,35
CARTER,35
EVA,35
GOOSE,35
KAYLA,35
KUMA,35
LEILA,35
LINCOLN,35
LINUS,35
MAXX,35
ODIE,35
PETUNIA,35
RAVEN,35
REMI,35
RORY,35
SUSHI,35
TIMMY,35
VALENTINO,35
ARYA,34
ATTICUS,34
BIRDIE,34
BRANDI,34
COPPER,34
CRICKET,34
EINSTEIN,34
GEMMA,34
KALI,34
MARCO,34
MAXI,34
NOLA,34
RASCAL,34
ROCKO,34
ROMAN,34
VINNY,34
AUSTIN,33
BUTTONS,33
FINNEGAN,33
JULIE,33
LOU,33
MONA,33
MORGAN,33
MYA,33
PANCHO,33
ROO,33
SHAGGY,33
SKIPPY,33
SKYLAR,33
SPOT,33
TOY,33
TROUBLE,33
AXEL,32
BANJO,32
BIBI,32
BLAZE,32
BOB,32
BUNNY,32
COCONUT,32
DUDLEY,32
DUTCH,32
ISIS,32
LAILA,32
LOBO,32
MAISY,32
MAXIE,32
MINI,32
MR,32
NORMAN,32
PICKLES,32
